freqs,channel,p1,chi2
64.4531,0,0.3358,2.9982
64.4531,1,0.219,1.0268
64.4531,2,0.2186,1.0591
64.4531,3,0.2299,1.0715
64.4531,4,0.2308,0.9452
64.4531,5,0.1431,0.4498
64.4531,6,0.1529,0.3317
64.4531,7,0.1962,0.9175
64.4531,8,0.1507,0.2912
64.4531,9,0.1366,0.4758
64.4531,10,0.1363,0.4802
64.4531,11,0.1431,0.3811
64.4531,12,0.216,1.0488
64.4531,13,0.1408,0.4399
64.4531,14,0.152,1.133
64.4531,15,0.2688,1.0525
66.4062,0,0.1963,1.0905
66.4062,1,0.145,0.5212
66.4062,2,0.2943,2.0809
66.4062,3,0.1497,0.3003
66.4062,4,0.2505,1.068
66.4062,5,0.1487,0.4119
66.4062,6,0.2288,0.8909
66.4062,7,0.2284,1.0291
66.4062,8,0.3063,0.9884
66.4062,9,0.1389,0.4555
66.4062,10,0.1472,0.4309
66.4062,11,0.2184,1.0207
66.4062,12,0.2022,2.5601
66.4062,13,0.3485,4.2439
66.4062,14,0.151,0.3851
66.4062,15,0.3035,1.1492
68.3594,0,0.2155,0.9669
68.3594,1,0.1504,0.527
68.3594,2,0.243,1.0915
68.3594,3,0.2813,1.0155
68.3594,4,0.2642,1.0351
68.3594,5,0.1545,0.3944
68.3594,6,0.2397,0.9785
68.3594,7,0.266,1.0738
68.3594,8,0.3282,1.0018
68.3594,9,0.1495,0.4147
68.3594,10,0.1514,0.4229
68.3594,11,0.249,1.0736
68.3594,12,0.2573,0.9231
68.3594,13,0.1525,0.3979
68.3594,14,0.1544,0.3761
68.3594,15,0.3144,0.9938
70.3125,0,0.2635,2.3124
70.3125,1,0.1479,0.5268
70.3125,2,0.2377,1.0754
70.3125,3,0.2855,1.0556
70.3125,4,0.2616,1.0272
70.3125,5,0.1498,0.4357
70.3125,6,0.2243,0.9142
70.3125,7,0.2602,1.0433
70.3125,8,0.3419,1.0239
70.3125,9,0.1844,1.5524
70.3125,10,0.1488,0.4096
70.3125,11,0.248,0.9846
70.3125,12,0.2563,1.0526
70.3125,13,0.1505,0.4206
70.3125,14,0.1521,0.4099
70.3125,15,0.3127,0.948
72.2656,0,0.1528,0.3308
72.2656,1,0.1467,0.4892
72.2656,2,0.2345,1.0695
72.2656,3,0.2873,0.9992
72.2656,4,0.2645,1.0126
72.2656,5,0.184,1.3495
72.2656,6,0.1564,0.3156
72.2656,7,0.3934,2.6316
72.2656,8,0.3237,0.9937
72.2656,9,0.1466,0.4149
72.2656,10,0.149,0.3716
72.2656,11,0.2687,1.0399
72.2656,12,0.2508,0.9875
72.2656,13,0.1485,0.4081
72.2656,14,0.1484,0.3849
72.2656,15,0.3191,1.087
74.2188,0,0.1553,0.3198
74.2188,1,0.1537,0.4536
74.2188,2,0.2441,1.0837
74.2188,3,0.2901,1.0787
74.2188,4,0.276,1.065
74.2188,5,0.1523,0.4088
74.2188,6,0.2583,1.0216
74.2188,7,0.2714,0.9875
74.2188,8,0.1798,4.493
74.2188,9,0.1521,0.4146
74.2188,10,0.2076,1.3411
74.2188,11,0.1426,0.2944
74.2188,12,0.2632,0.9961
74.2188,13,0.155,0.3825
74.2188,14,0.2106,1.0846
74.2188,15,0.2983,0.8822
76.1719,0,0.1538,0.3417
76.1719,1,0.1508,0.4675
76.1719,2,0.2427,1.1244
76.1719,3,0.2862,1.1043
76.1719,4,0.2698,1.0622
76.1719,5,0.1518,0.4026
76.1719,6,0.1536,0.3153
76.1719,7,0.2703,1.1074
76.1719,8,0.3207,0.9712
76.1719,9,0.149,0.4223
76.1719,10,0.2012,1.4506
76.1719,11,0.2547,1.0031
76.1719,12,0.2587,1.0155
76.1719,13,0.1533,0.386
76.1719,14,0.4299,3.1222
76.1719,15,0.297,0.9808
78.125,0,0.1503,0.3685
78.125,1,0.1465,0.4821
78.125,2,0.2195,0.9789
78.125,3,0.2581,1.0485
78.125,4,0.2577,1.0352
78.125,5,0.1477,0.4214
78.125,6,0.2105,1.001
78.125,7,0.2394,1.0724
78.125,8,0.3097,1.0223
78.125,9,0.1423,0.4408
78.125,10,0.1462,0.4034
78.125,11,0.2303,1.115
78.125,12,0.2346,0.8867
78.125,13,0.1666,1.1806
78.125,14,0.1713,1.1036
78.125,15,0.281,1.0258
80.0781,0,0.1514,0.3743
80.0781,1,0.1413,0.5251
80.0781,2,0.2229,1.0818
80.0781,3,0.2466,1.1221
80.0781,4,0.25,1.0227
80.0781,5,0.1463,0.4347
80.0781,6,0.2095,0.9414
80.0781,7,0.6846,3.1531
80.0781,8,0.2986,0.9122
80.0781,9,0.1438,0.4413
80.0781,10,0.1445,0.4199
80.0781,11,0.1973,0.9826
80.0781,12,0.2353,1.1118
80.0781,13,0.1647,1.1054
80.0781,14,0.1449,0.4221
80.0781,15,0.2672,1.0045
82.0312,0,0.148,0.3798
82.0312,1,0.1426,0.5256
82.0312,2,0.7869,3.6624
82.0312,3,0.234,1.0088
82.0312,4,0.2336,0.9089
82.0312,5,0.144,0.4514
82.0312,6,0.217,1.008
82.0312,7,0.2043,0.9702
82.0312,8,0.3003,1.0068
82.0312,9,0.1418,0.438
82.0312,10,0.1417,0.4234
82.0312,11,0.1506,0.3743
82.0312,12,0.2308,1.0524
82.0312,13,0.1493,0.4079
82.0312,14,0.1469,0.3956
82.0312,15,0.2525,1.0502
83.9844,0,0.1562,1.0873
83.9844,1,0.1351,0.5227
83.9844,2,0.1583,2.664
83.9844,3,0.2072,0.8967
83.9844,4,0.2173,0.9998
83.9844,5,0.1315,0.4904
83.9844,6,0.1525,0.3545
83.9844,7,0.1491,0.3752
83.9844,8,0.7824,2.4488
83.9844,9,0.1354,0.4948
83.9844,10,0.0956,0.9558
83.9844,11,0.1419,0.4268
83.9844,12,0.2172,1.0624
83.9844,13,0.1499,1.0053
83.9844,14,0.2527,0.657
83.9844,15,0.2297,1.0198
85.9375,0,0.1404,0.4442
85.9375,1,0.1206,0.5869
85.9375,2,0.3461,6.3147
85.9375,3,0.2009,0.981
85.9375,4,0.1533,0.3369
85.9375,5,0.1251,0.4949
85.9375,6,0.1945,1.0243
85.9375,7,0.1431,0.4068
85.9375,8,0.2771,0.9667
85.9375,9,0.2059,0.6863
85.9375,10,0.131,0.5074
85.9375,11,0.6657,4.9687
85.9375,12,0.2047,1.0215
85.9375,13,0.1316,0.4748
85.9375,14,0.1374,0.4623
85.9375,15,0.219,0.9655
87.8906,0,0.1457,0.9651
