freqs,channel,p1,chi2
41.0156,7,4.9565,87.9819
41.0156,8,0.1355,2.8847
41.0156,9,0.0924,1.8169
41.0156,10,0.1399,1.7213
41.0156,11,4.9806,103.8106
41.0156,12,0.1319,14.9214
41.0156,13,0.1109,1.5736
41.0156,14,0.1135,1.763
41.0156,15,5.0198,111.2069
42.9688,0,0.165,3.9021
42.9688,1,0.122,1.5448
42.9688,2,0.1568,1.7972
42.9688,3,4.2892,78.7493
42.9688,4,0.1494,2.4213
42.9688,5,0.1405,1.0256
42.9688,6,0.0841,1.0588
42.9688,7,4.9115,78.4956
42.9688,8,0.134,3.6736
42.9688,9,0.1174,13.9726
42.9688,10,0.141,1.5943
42.9688,11,5.1531,98.3615
42.9688,12,0.1299,21.7347
42.9688,13,0.1144,1.4723
42.9688,14,0.1148,1.7034
42.9688,15,5.0438,100.65
44.9219,0,0.174,2.2329
44.9219,1,0.1231,1.1321
44.9219,2,0.1718,1.1291
44.9219,3,4.1589,71.0977
44.9219,4,0.167,1.6759
44.9219,5,0.146,1.2973
44.9219,6,0.0825,3.2939
44.9219,7,4.8739,61.9131
44.9219,8,0.1435,6.1192
44.9219,9,0.2086,523.3065
44.9219,10,0.1579,1.1374
44.9219,11,5.169,85.3358
44.9219,12,0.1435,59.6334
44.9219,13,0.1263,0.943
44.9219,14,0.1205,1.2696
44.9219,15,5.0293,101.5723
46.875,0,0.2124,1.5835
46.875,1,0.1331,1.3165
46.875,2,0.2141,3.7767
46.875,3,4.3806,71.9774
46.875,4,0.2071,9.119
46.875,5,0.146,0.974
46.875,6,0.0936,5.6811
46.875,7,5.0787,54.1528
46.875,8,0.1593,9.3849
46.875,9,0.2817,2138.7689
46.875,10,0.1864,4.6108
46.875,11,5.1421,82.3781
46.875,12,0.1676,133.0375
46.875,13,0.139,2.585
46.875,14,0.127,1.0627
46.875,15,4.8849,89.5685
48.8281,0,0.2465,35.7792
48.8281,1,0.1448,4.6068
48.8281,2,0.2445,41.7203
48.8281,3,4.6387,81.8151
48.8281,4,0.2447,58.7451
48.8281,5,0.1408,0.9391
48.8281,6,0.1181,108.2728
48.8281,7,5.1741,71.2073
48.8281,8,0.1703,11.3512
48.8281,9,0.2746,2620.3346
48.8281,10,0.2099,6.431
